Year,Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
9980BP,16.8670058594,16.9740054932,17.9200021973,18.6338775024,18.7067041016,17.8606064164
9960BP,16.1499953613,16.2935733643,17.362394165,18.1677977905,18.3085961914,17.285831946
9940BP,16.269190918,16.3900211182,17.377302002,18.1306533203,18.2224023437,17.3168998458
9920BP,17.0937026367,17.2333011475,17.9040476074,18.4464278564,18.4878015137,17.9001666442
9900BP,16.4029006348,16.5394000854,17.385050415,18.0118010864,18.0726037598,17.3442205354
9880BP,16.5330092773,16.725432373,17.566401001,18.3391080933,18.4449121094,17.5847744852
9860BP,15.9772963867,16.128770813,16.9961954346,17.6491820679,17.7570092773,16.9483233582
9840BP,15.8282058105,15.9710544434,16.6787912598,17.2373000488,17.3075036621,16.6608227822
9820BP,15.4720046387,15.6490285645,16.5136513672,17.2695005493,17.3740014648,16.5144163563
9800BP,15.8158950195,16.0112218628,16.8920510254,17.6796964722,17.7928979492,16.90100226
9780BP,16.949494873,17.0828967896,17.8638468018,18.4520705566,18.5297937012,17.825561276
9760BP,16.1298049316,16.3023778687,17.168454834,17.8874921875,18.0033898926,17.1503963618
9740BP,16.4400039063,16.5650791016,17.3162030029,17.8463239746,17.9417993164,17.2602202164
9720BP,16.8169997559,16.9109256592,17.805552124,18.4733550415,18.5379052734,17.7458339621
9700BP,16.5362990723,16.5955737915,17.5228037109,18.0601210937,18.0849938965,17.4074968839
9680BP,15.9851821289,16.09778479,16.8458444824,17.3483519897,17.4153039551,16.7857817722
9660BP,16.4318007813,16.491975769,17.4437509766,18.1484725342,18.2082971191,17.3662515991
9640BP,16.056098877,16.1659473267,17.0488962402,17.74877771,17.8406030273,17.0010883086
9620BP,15.4318984375,15.6405019531,16.6099984131,17.7772733765,17.9047998047,16.7212371194
9600BP,16.1073989258,16.2269473877,16.971052002,17.4800765381,17.525802002,16.923349427
9580BP,16.3888076172,16.537956604,17.3658487549,17.9498061523,18.0431054687,17.3119007379
9560BP,16.4063918457,16.4803424683,17.1636575928,17.5912047729,17.6043054199,17.1020089607
9540BP,15.790296875,15.9620715942,16.9103009033,17.6466535645,17.7746057129,16.8651511827
9520BP,15.6667922363,15.8315953979,16.6266976318,17.2172010498,17.3157006836,16.5902396208
9500BP,15.9124038086,16.076326355,17.1467020264,17.9170562134,18.0464074707,17.0691656401
9480BP,16.9764968262,17.1272723999,17.8943981934,18.440043457,18.5313928223,17.8490095066
9460BP,16.206111084,16.3727071533,17.3087563477,18.0350309448,18.1308068848,17.276651044
9440BP,15.7133925781,15.8607442627,16.6199468994,17.1422713623,17.2242944336,16.5716220421
9420BP,16.0419020996,16.1918994751,17.0056436768,17.6302260742,17.6988000488,16.9774760517
9400BP,17.0515029297,17.2148031006,17.9574957275,18.5381270752,18.6208032227,17.9388526423
9380BP,16.6433120117,16.8166585693,17.6447518311,18.3410963135,18.4306970215,17.6403543516
9360BP,16.6161025391,16.7856784668,17.7392038574,18.357244812,18.4647912598,17.6577251309
9340BP,15.852595459,16.0004474487,16.7722452393,17.4392623291,17.5503137207,16.7586748478
9320BP,17.1487929688,17.2375949707,18.0770975342,18.7057769165,18.7656030273,18.0219430817
9300BP,16.5673049316,16.6555789795,17.5125009766,18.0414794312,18.088302002,17.4219617851
9280BP,16.1907973633,16.3037723389,17.1930551758,17.8255782471,17.888503418,17.1307149266
9260BP,15.5077895508,15.6817661133,16.5368967285,17.1574828491,17.2491052246,16.4956711273
9240BP,16.3724990234,16.4942493286,17.2041971436,17.8266295776,17.8577050781,17.2104684363
9220BP,16.4889968262,16.6594457397,17.5064522705,18.3843244629,18.4711999512,17.5601268591
9200BP,15.7467910156,15.8936435547,16.9982006836,17.815598877,17.9618005371,16.9137141708
9180BP,18.17740625,18.3006793823,19.2786081543,19.9074019775,20.0164025879,19.1753918982
9160BP,16.5589858398,16.6490390625,17.1916025391,17.6381484375,17.6623986816,17.1855909886
9140BP,17.5379104004,17.6639577637,18.2719519043,18.7605269775,18.8390039062,18.2552966164
9120BP,16.4104934082,16.5634954224,17.372852417,18.0241453247,18.123092041,17.349932513
9100BP,16.7427993164,16.8723743286,17.5903973389,18.1298475342,18.2126000977,17.554653302
9080BP,16.1893874512,16.3305669556,17.124793335,17.6996046143,17.8000085449,17.0763514268
9060BP,16.1747023926,16.3429767456,17.1575482178,17.8166257935,17.9143029785,17.1395010917
9040BP,16.815498291,16.9911487427,17.8953045654,18.7406278687,18.8552026367,17.908405923
9020BP,15.6922072754,15.7774310913,16.5238474121,17.0824736938,17.1376977539,16.4763716294
9000BP,15.4669997559,15.5752506104,16.38934729,17.0148986206,17.1084985352,16.3385745182
8980BP,15.9414931641,16.0353702393,16.9591531982,17.7112029419,17.7859033203,16.9145335893
8960BP,16.8215895996,16.906593689,17.692649292,18.2803237305,18.3616967773,17.6338783234
8940BP,16.8265883789,16.9597675171,17.7089517822,18.3363005981,18.435402832,17.6877787633
8920BP,16.8632033691,16.9311282959,17.6422525635,18.2261947021,18.2542932129,17.6167600234
8900BP,16.3860976563,16.5731479492,17.4061993408,18.2329465942,18.3296960449,17.4468036088
8880BP,16.9583022461,17.1454028931,18.0633526611,18.9696485596,19.0881982422,18.0955841828
8860BP,16.1476943359,16.2587451782,17.1103009033,17.649104126,17.7374047852,17.0213125103
8840BP,16.3242019043,16.3455005493,17.3458963623,18.0144973145,18.0207971191,17.2420754091
8820BP,18.0557998047,18.0919269409,18.9056986084,19.4731806641,19.4787094727,18.8352309575
8800BP,15.6324050293,15.6574298706,16.4902445068,17.1124984131,17.1238000488,16.4263286774
8780BP,15.849104248,15.940578064,16.5975992432,17.0045287476,17.0515039062,16.5340276553
8760BP,16.5831984863,16.7561498413,17.6170510254,18.3890211182,18.5173974609,17.6143057974
8740BP,16.602998291,16.6660983887,17.4115946045,18.0052214966,18.0335961914,17.3761081003
8720BP,15.3946975098,15.4934223022,16.1481485596,16.7179778442,16.7711022949,16.1403819751
8700BP,15.7712905273,15.862616333,16.5395578613,17.138571106,17.1832971191,16.5339952192
8680BP,16.1357070313,16.2399539795,16.96825354,17.449822937,17.5011987305,16.9094256188
8660BP,16.7612990723,16.8827503052,17.5511975098,18.1158262329,18.1961022949,17.5386193959
8640BP,15.4195998535,15.5667484131,16.4971051025,17.2430265503,17.3719018555,16.4521224765
8620BP,15.1643081055,15.3314563599,16.2285565186,17.0112501221,17.1360009766,16.2158817503
8600BP,16.2182021484,16.3176776733,17.2013010254,17.7722243652,17.8701013184,17.1047144268
8580BP,15.9836928711,16.0489658203,16.7185495605,17.2814711914,17.289095459,16.7051269096
8560BP,16.2701064453,16.4096057739,17.1979471436,17.7510497437,17.8381005859,17.1448975847
8540BP,15.4964980469,15.5988498535,16.3212930908,16.9313399658,17.0095849609,16.2984289945
8520BP,16.0513015137,16.1491489258,17.0880014648,17.7663527832,17.8755029297,17.0051578655
8500BP,15.0945998535,15.2226506958,16.0159951172,16.6658033447,16.7382043457,16.0004878695
8480BP,15.5103041992,15.6767278442,16.4430001221,17.1579740601,17.2547998047,16.4601515125
8460BP,16.0779921875,16.1677432861,16.8915018311,17.4864241943,17.5542993164,16.8616294116
8440BP,16.3474990234,16.5219014893,17.3281990967,18.1649961548,18.264296875,17.3770482975
8420BP,16.3169020996,16.357600769,17.0934000244,17.5607283936,17.6081079102,17.005078752
8400BP,16.8346938477,16.9429981079,17.5592478027,18.0405761108,18.0881005859,17.5400381015
8380BP,15.9271987305,16.0072254028,16.8578500977,17.4587508545,17.5130029297,16.7882957569
8360BP,16.0302016602,16.1849523315,16.9857064209,17.6913984375,17.8139001465,16.9760804861
8340BP,17.0078017578,17.1643758545,17.9403511963,18.7157545166,18.8363061523,17.9640073143
8320BP,16.3170913086,16.4008670654,17.351053833,17.9802733765,18.1008996582,17.2394414126
